Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
01/02/25,12:01:00,MNQ,Sell,11,21306.0,Future,Mar 25,,,,
01/02/25,12:01:00,MNQ,Buy,11,21306.0,Future,Mar 25,,,,
01/03/25,09:57:00,MNQ,Buy,3,21378.25,Future,Mar 25,,,,
01/03/25,10:21:00,MNQ,Sell,3,21279.5,Future,Mar 25,,,,
01/03/25,10:33:00,MNQ,Buy,7,21330.25,Future,Mar 25,,,,
01/03/25,10:36:30,MNQ,Sell,1,21370.45,Future,Mar 25,,,,
01/03/25,10:44:30,MNQ,Sell,2,21397.25,Future,Mar 25,,,,
01/03/25,11:30:30,MNQ,Sell,4,21430.75,Future,Mar 25,,,,
01/06/25,09:37:00,MNQ,Buy,11,21778.0,Future,Mar 25,,,,
01/06/25,09:41:00,MNQ,Sell,2,21804.1,Future,Mar 25,,,,
01/06/25,09:44:00,MNQ,Sell,3,21821.5,Future,Mar 25,,,,
01/06/25,09:54:00,MNQ,Sell,6,21843.25,Future,Mar 25,,,,
01/07/25,09:57:00,MNQ,Sell,4,21734.5,Future,Mar 25,,,,
01/07/25,10:01:00,MNQ,Buy,1,21661.9,Future,Mar 25,,,,
01/07/25,10:02:00,MNQ,Buy,1,21613.5,Future,Mar 25,,,,
01/07/25,10:10:00,MNQ,Buy,2,21553.0,Future,Mar 25,,,,
01/08/25,09:52:00,MNQ,Buy,9,21378.0,Future,Mar 25,,,,
01/08/25,09:53:00,MNQ,Sell,9,21320.75,Future,Mar 25,,,,
01/08/25,10:43:00,MNQ,Sell,6,21318.25,Future,Mar 25,,,,
01/08/25,10:44:30,MNQ,Buy,3,21298.45,Future,Mar 25,,,,
01/08/25,10:51:00,MNQ,Buy,3,21331.75,Future,Mar 25,,,,
01/08/25,10:55:00,MNQ,Buy,13,21347.25,Future,Mar 25,,,,
01/08/25,11:03:00,MNQ,Sell,13,21322.0,Future,Mar 25,,,,
01/08/25,11:05:00,MNQ,Sell,6,21317.5,Future,Mar 25,,,,
01/08/25,11:07:00,MNQ,Buy,3,21298.6,Future,Mar 25,,,,
01/08/25,11:11:00,MNQ,Buy,3,21342.75,Future,Mar 25,,,,
